t=0.0 avg=0.026365 min=0.000000 max=0.048871 neg_count=0
t=0.1 avg=0.028877 min=-0.000058 max=0.053477 neg_count=10
t=0.2 avg=0.031615 min=-0.000134 max=0.058488 neg_count=10
t=0.3 avg=0.034597 min=-0.000231 max=0.063935 neg_count=10
t=0.4 avg=0.037842 min=-0.000354 max=0.069847 neg_count=10
t=0.5 avg=0.041369 min=-0.000509 max=0.076257 neg_count=10
t=0.6 avg=0.045198 min=-0.000702 max=0.083198 neg_count=10
t=0.7 avg=0.049352 min=-0.000943 max=0.090702 neg_count=10
t=0.8 avg=0.053849 min=-0.001241 max=0.098802 neg_count=10
t=0.9 avg=0.058714 min=-0.001606 max=0.107531 neg_count=10
t=1.0 avg=0.063966 min=-0.002054 max=0.116919 neg_count=10
t=1.1 avg=0.069627 min=-0.002601 max=0.126997 neg_count=10
t=1.2 avg=0.075719 min=-0.003264 max=0.137790 neg_count=10
t=1.3 avg=0.082261 min=-0.004068 max=0.149323 neg_count=10
t=1.4 avg=0.089270 min=-0.005037 max=0.161644 neg_count=10
t=1.5 avg=0.096764 min=-0.006204 max=0.174895 neg_count=10
t=1.6 avg=0.104755 min=-0.007603 max=0.188973 neg_count=10
t=1.7 avg=0.113255 min=-0.009277 max=0.203883 neg_count=10
t=1.8 avg=0.122271 min=-0.011272 max=0.219627 neg_count=10
t=1.9 avg=0.131803 min=-0.013645 max=0.236195 neg_count=10
t=2.0 avg=0.141850 min=-0.016459 max=0.253570 neg_count=10
t=2.1 avg=0.152402 min=-0.019787 max=0.271723 neg_count=10
t=2.2 avg=0.163445 min=-0.023712 max=0.290613 neg_count=10
t=2.3 avg=0.174956 min=-0.028331 max=0.310190 neg_count=10
t=2.4 avg=0.186906 min=-0.033753 max=0.330391 neg_count=10
t=2.5 avg=0.199256 min=-0.040100 max=0.351139 neg_count=10
t=2.6 avg=0.211963 min=-0.047516 max=0.372351 neg_count=10
t=2.7 avg=0.224973 min=-0.056161 max=0.393930 neg_count=10
t=2.8 avg=0.238224 min=-0.066221 max=0.415771 neg_count=10
t=2.9 avg=0.251648 min=-0.077906 max=0.437763 neg_count=10
t=3.0 avg=0.265169 min=-0.091463 max=0.459788 neg_count=10
t=3.1 avg=0.278706 min=-0.107173 max=0.481726 neg_count=10
t=3.2 avg=0.292170 min=-0.125368 max=0.503457 neg_count=10
t=3.3 avg=0.305467 min=-0.146436 max=0.524861 neg_count=10
t=3.4 avg=0.318499 min=-0.170842 max=0.545823 neg_count=10
t=3.5 avg=0.331163 min=-0.199144 max=0.566235 neg_count=10
t=3.6 avg=0.343352 min=-0.232024 max=0.585999 neg_count=10
t=3.7 avg=0.354954 min=-0.270322 max=0.605024 neg_count=10
t=3.8 avg=0.365848 min=-0.315097 max=0.623234 neg_count=10
t=3.9 avg=0.375906 min=-0.367697 max=0.640565 neg_count=10
t=4.0 avg=0.384987 min=-0.429873 max=0.656965 neg_count=10
t=4.1 avg=0.392928 min=-0.503946 max=0.672397 neg_count=10
t=4.2 avg=0.399541 min=-0.593051 max=0.686838 neg_count=10
t=4.3 avg=0.404592 min=-0.701536 max=0.700275 neg_count=10
t=4.4 avg=0.407782 min=-0.835589 max=0.712709 neg_count=10
t=4.5 avg=0.408709 min=-1.004307 max=0.724151 neg_count=10
t=4.6 avg=0.406816 min=-1.221567 max=0.734620 neg_count=10
t=4.7 avg=0.401284 min=-1.509515 max=0.744146 neg_count=10
t=4.8 avg=0.390858 min=-1.905470 max=0.752763 neg_count=10
t=4.9 avg=0.373501 min=-2.476783 max=0.760511 neg_count=10
t=5.0 avg=0.345657 min=-3.356104 max=0.767435 neg_count=10
