time,avg_lambda,neg_count,degree
0.0,0.028745,0,29.00
0.1,0.031396,30,29.00
0.2,0.034270,30,29.00
0.3,0.037381,30,29.00
0.4,0.040742,30,29.00
0.5,0.044368,30,29.00
0.6,0.048273,30,29.00
0.7,0.052470,30,29.00
0.8,0.056972,30,29.00
0.9,0.061790,30,29.00
1.0,0.066935,30,29.00
1.1,0.072412,30,29.00
1.2,0.078229,30,29.00
1.3,0.084387,30,29.00
1.4,0.090886,30,29.00
1.5,0.097720,30,29.00
1.6,0.104882,30,29.00
1.7,0.112357,30,29.00
1.8,0.120128,30,29.00
1.9,0.128170,30,29.00
2.0,0.136454,30,29.00
2.1,0.144947,30,29.00
2.2,0.153608,30,29.00
2.3,0.162393,30,29.00
2.4,0.171251,30,29.00
2.5,0.180131,30,29.00
2.6,0.188973,30,29.00
2.7,0.197717,30,29.00
2.8,0.206300,30,29.00
2.9,0.214656,30,29.00
3.0,0.222720,30,29.00
